MSOA21CD,%_Houses,%_Flats,%_Other
E02000342,58.69565217391305,34.00328137817883,3.32239540607055
E02000343,66.85775707631674,24.507345037620926,4.980293801504837
E02000344,76.96850393700787,13.858267716535433,5.47244094488189
E02006786,63.08769589863288,25.50850283427809,7.202400800266756
E02006927,42.27264273758601,49.33978054677329,2.957039241212572
E02006928,5.869835077141337,84.96187267245966,2.5181769817343502
E02006930,41.190527916576144,40.842928524875084,9.754507929611123
E02006931,37.468982630272954,39.431536205729756,16.422287390029325
E02006991,4.694048616932104,72.59010896898575,13.04833752444817
E02006992,19.60548472456098,68.72744767861438,2.3574693288429156
E02006993,12.02317720907774,73.2737807822308,2.221149203283438
E02006994,16.666666666666664,67.92717086834735,7.3389355742296924
E02000345,30.606860158311346,34.26781002638523,20.54749340369393
E02000346,2.343407796758651,80.17958826106,4.445904511607534
E02000347,18.40962245238891,41.56364851319746,26.127631139325093
E02000348,14.027732989358272,62.62495969042244,11.125443405353112
E02000350,20.63729151107792,29.05153099327857,42.27035100821509
E02000351,10.926209765710531,41.42763301948763,40.267133785855044
E02000352,21.428571428571427,54.93697478991597,17.822128851540615
E02000353,37.955993051534456,25.07237984944991,28.343949044585987
E02000354,16.102873030583876,49.606116774791474,26.714550509731232
E02000355,37.33747880158281,18.40022611644997,32.24985867721877
E02000356,25.27539779681763,34.1187270501836,34.27172582619339
E02000357,15.588954910870326,75.74274729115695,3.87976232086683
E02000358,20.160060975609756,47.37042682926829,24.19969512195122
E02000359,51.81922635005745,23.094599770202986,18.422060513213328
E02000360,10.269749518304431,66.97495183044316,16.184971098265898
E02000361,11.969397828232971,49.3583415597236,29.442250740375126
E02000362,29.046194749086073,51.14656031904287,12.961116650049851
E02000363,9.275675675675675,80.90810810810811,5.837837837837838
E02000364,23.071748878923767,38.56502242152467,30.269058295964125
E02000366,28.960726689820998,43.120491584290676,22.49532460593107
E02000367,16.96320258794986,57.19773554387384,18.701981399110394
E02000368,14.85989894350023,73.86311437758383,6.66054203031695
E02000369,6.888472352389878,79.44392377382069,6.294907841299594
E02000370,4.396610945729334,78.08564231738035,8.90771696817037
E02006918,13.437590501013611,69.35997683174051,8.977700550246162
E02006921,12.16347713266299,63.80149205319494,14.271813168991244
E02007108,14.922480620155037,51.93798449612403,23.643410852713178
E02007109,27.791427791427793,45.918645918645915,16.516516516516518
E02007110,1.5155342258145996,77.79742359181611,5.607476635514018
E02007111,2.3341873042983208,61.400512382578995,16.42470822658696
E02000372,39.148471615720524,36.55021834061135,8.930131004366812
E02000373,13.768389287061487,79.17766880422482,2.7536778574122973
E02000374,40.05001786352268,33.726330832440155,19.685602000714542
E02000375,13.950617283950617,48.172839506172835,24.22222222222222
E02000376,12.5,32.466814159292035,43.19690265486726
E02000377,19.707091469681398,36.30524152106886,32.60534429599178
E02000378,8.304030294833648,45.87503381119827,33.78414931025156
E02000379,28.400954653937948,47.25536992840095,16.91527446300716
E02000380,33.22683706070288,20.908768193113243,34.54029108981186
E02000381,20.371275036638984,32.975085490962385,33.317049340498286
E02000382,26.114448308567816,43.28169459374012,18.210559595320895
E02000383,4.27752762996316,56.97912402783463,22.86123618501842
E02000384,13.200934579439252,56.35514018691589,19.36915887850467
E02000385,10.792019347037485,44.256348246674726,31.106408706166867
E02000386,10.776302349336058,52.14504596527069,23.03370786516854
E02000387,24.526315789473685,51.33333333333333,14.877192982456142
E02000388,16.842105263157894,42.86893704850361,25.593395252837976
E02000389,30.482299833689712,32.52554050843431,24.328819196958896
E02000390,36.297279362972795,29.794293297942932,24.15394824153948
E02000391,36.37336186146028,29.687082107515376,21.690291521797274
E02000392,24.35349673937486,37.19361367213852,29.278165055093318
E02000393,31.680731364275665,22.855133614627285,36.427566807313646
E02000394,8.251404494382022,49.22752808988764,18.820224719101123
E02000395,27.263843648208468,44.299674267100976,14.462540716612377
E02000396,32.15329652484573,37.089964274114976,20.656057161416044
E02000397,24.74198804997284,39.462248777838134,30.146659424225962
E02000398,33.301587301587304,46.19047619047619,11.936507936507937
E02000400,41.5948275862069,43.38054187192118,11.083743842364532
E02000401,70.88948787061994,19.67654986522911,4.77474008471313
E02000402,62.293794186959936,28.790259230164967,4.20267085624509
E02000403,31.847725162488395,26.9885484370164,33.70473537604457
E02000404,47.02359985910532,35.92814371257485,10.919337794998238
E02000405,53.434816549570655,16.003122560499612,26.658860265417644
E02000406,59.934853420195445,16.178067318132463,17.842924357582337
E02000407,30.093289196509176,30.334035510081254,30.00300932891965
E02000408,37.4096196164728,46.93492612386042,9.996856334486012
E02000409,35.96352101506741,45.83663758921491,12.172878667724028
E02000410,34.56090651558073,25.21246458923513,32.71954674220963
E02000411,34.04356060606061,52.01231060606061,7.504734848484848
E02000412,27.11593740019163,43.181092302778666,21.430852762695622
E02000413,54.34571890145396,24.55573505654281,16.833602584814216
E02000414,50.773369199731,12.84465366509751,27.77404169468729
E02000415,40.609473335541566,21.994037760847963,31.301755548194766
E02000416,22.393822393822393,52.29247104247104,19.86003861003861
E02000417,33.52564102564102,26.05769230769231,32.33974358974359
E02000418,54.498714652956295,18.50899742930591,21.59383033419023
E02000419,29.358717434869742,27.029058116232463,34.91983967935872
E02000420,37.09761163032191,35.48805815160955,16.614745586708203
E02000421,25.404292855042637,46.015877683034404,20.905615995295502
E02000422,37.97508783136378,37.20855956563398,17.02331523474928
E02000423,41.04741684359519,26.15003538570417,27.459306440198162
E02000424,25.795383655645665,19.80661260137243,47.50467872738615
E02000425,55.527638190954775,18.257956448911223,16.792294807370183
E02000426,39.96010638297872,35.23936170212766,16.023936170212767
E02000427,31.941747572815533,18.381877022653722,42.52427184466019
E02000428,25.44359949302915,46.4828897338403,20.659062103929024
E02000429,25.344827586206897,41.49425287356322,25.114942528735636
E02000430,20.6801216477744,23.500138236107272,45.61791539950235
E02000431,22.672440457779153,26.41509433962264,38.91122796164553
E02000432,17.81045751633987,21.241830065359476,52.352941176470594
E02006794,24.911137440758292,54.91706161137441,12.76658767772512
E02000433,39.924717691342536,43.7892095357591,5.1944792973651195
E02000434,52.13896810993,37.1791547835105,5.029815919108115
E02000435,67.81725888324873,25.00846023688663,2.33502538071066
E02000436,85.68738229755178,9.03954802259887,1.5536723163841808
E02000437,72.2291407222914,18.493150684931507,5.510585305105852
E02000438,65.60227631994941,25.703446095478977,4.995257666772051
E02000439,60.33467616981717,23.117446544778435,7.809110629067245
E02000440,86.31346578366445,7.757805108798486,2.270577105014191
E02000441,57.370923913043484,35.46195652173913,2.0380434782608696
E02000442,80.64051817200432,7.5566750629722925,7.84454839870457
E02000443,59.448608137044964,22.83190578158458,12.633832976445397
E02000444,73.97903867003976,15.106613661004697,7.444886158294181
E02000445,53.745039682539684,30.381944444444443,10.615079365079366
E02000447,76.61832331093031,13.937035726918994,6.650159179342059
E02000448,59.528688524590166,27.834699453551913,6.864754098360656
E02000449,76.2251148545176,13.667687595712097,6.852986217457886
E02000451,79.37293729372938,10.80858085808581,5.9405940594059405
E02000452,31.801175841795832,33.11063602351684,27.39176910742918
E02000453,48.24182603331277,25.6631708821715,20.11104256631709
E02000454,85.86830958798613,8.856372737774356,2.464381979206777
E02000455,22.45050429585357,58.25550989914083,8.162121778109825
E02000456,65.85714285714286,17.607142857142858,13.750000000000002
E02000457,64.98731424429141,22.218194998187748,5.654222544400145
E02000459,42.36958934517203,43.92341842397337,8.601553829078801
E02000460,60.33123028391167,31.624605678233436,3.2728706624605675
E02000461,40.31091829356471,40.6001446131598,11.677512653651483
E02000462,65.76763485477179,17.30290456431535,11.742738589211617
E02000463,78.7263339070568,14.182444061962135,4.647160068846816
E02006795,80.10989010989012,11.794871794871794,4.945054945054945
E02006882,83.54677664423703,5.643585847623182,6.229650531799436
E02000464,74.41631042420256,13.350871423873725,6.675435711936863
E02000465,74.41031267142073,19.967087218869995,1.5085024684585846
E02000466,72.28880444314528,21.894182987430575,2.104647763811751
E02000467,62.11589113257243,30.070237050043897,1.9754170324846356
E02000468,84.77403700333636,8.067940552016985,3.1847133757961785
E02000469,71.73295454545455,22.585227272727273,1.4914772727272727
E02000470,70.6765181251443,21.057492495959362,3.6481182175017315
E02000471,93.12726076948373,2.8937849391647483,0.7234462347911871
E02000472,82.83378746594006,10.381471389645776,2.888283378746594
