MSOA21CD,%_not deprived,%_deprived-1,%_deprived-2,%_deprived-3,%_deprived-4
E02000397,36.25746876697447,32.86257468766974,17.843563280825638,6.382400869092884,0.9505703422053232
E02000398,25.301587301587304,33.23809523809524,22.6984126984127,8.88888888888889,1.3333333333333335
E02000400,42.179802955665025,32.45073891625616,16.47167487684729,4.58743842364532,0.3694581280788177
E02000401,31.690412013862147,32.0369657296881,22.2179437812861,8.779360800924144,0.6546014632268001
E02000402,30.40062843676355,34.09269442262372,21.838177533385704,8.40534171249018,0.5106048703849175
E02000403,35.964097802537914,34.076137418755806,16.434540389972145,5.416279789538843,0.6499535747446611
E02000404,32.546671363156044,34.202183867559,19.302571327932373,7.537865445579429,0.28178936245156744
E02000405,57.57220921155347,28.337236533957842,8.040593286494927,2.029664324746292,0.195160031225605
E02000406,36.98878031125588,30.582699963807457,19.616359030039813,6.152732537097358,0.579080709373869
E02000407,29.94282275052663,32.44056575383689,19.77129100210653,7.222389407162202,1.0532651218778213
E02000408,30.87079534737504,33.66865765482553,22.22571518390443,6.916064130776485,0.6601697579377553
E02000409,32.11736716891356,34.258524980174464,19.62727993655829,7.256145915939731,0.7137192704203014
E02000410,55.27620396600567,28.788951841359772,7.0821529745042495,1.13314447592068,0.28328611898017
E02000411,38.02083333333333,33.61742424242424,15.767045454545455,5.610795454545454,0.5681818181818182
E02000412,31.58735228361546,33.567550303417434,19.099329287767485,6.419674225487065,0.9581603321622485
E02000413,54.02261712439418,29.208400646203554,10.11308562197092,2.2617124394184165,0.12924071082390953
E02000414,36.88634835238736,33.35574983187627,16.005379959650305,4.572965702757229,0.5716207128446537
E02000415,37.72772441205697,33.587280556475655,16.760516727393178,5.101026830076185,0.7287181185823121
E02000416,46.5492277992278,29.150579150579148,13.8996138996139,4.633204633204633,0.33783783783783783
E02000417,53.97435897435897,27.916666666666668,7.916666666666666,2.019230769230769,0.0641025641025641
