MSOA21CD,Empty %
E02000002,2.7448322602507624
E02000003,4.402821697883726
E02000004,3.30820770519263
E02000005,3.7410453701247017
E02000007,3.186726362918093
E02000008,3.3235785953177257
E02000009,2.2742935906271535
E02000010,2.5753585016095992
E02000011,5.311871227364185
E02000012,4.0
E02000013,2.1935096153846154
E02000014,5.257270693512305
E02000015,6.2171357871945565
E02000016,5.739732805541811
E02000017,5.466347796378544
E02000018,3.146538807311957
E02000019,3.489771359807461
E02000020,3.766207038485285
E02000021,5.93900481540931
E02000022,4.571818491982259
E02000023,4.926811852909675
E02006799,2.871410736579276
E02000024,3.2850659174411065
E02000025,3.5539531290239506
E02000026,2.561117578579744
E02000027,2.20276008492569
E02000028,3.19798778296802
E02000029,2.473684210526316
E02000030,4.140561154998638
E02000031,5.643788996029495
E02000032,2.104887620406707
E02000033,2.3203802068772714
E02000034,3.832752613240418
E02000035,5.361930294906166
E02000036,3.0704986489805943
E02000037,2.696335078534031
E02000038,4.1636755204594404
E02000039,5.98380851812742
E02000040,8.187287470572848
E02000041,5.078459343794579
E02000042,4.572122193000203
E02000043,3.7545126353790614
E02000044,3.580402010050251
E02000045,2.369888475836431
E02000046,5.389418337167269
E02000047,3.683367650423244
E02000048,4.796336466618462
E02000049,2.6625704045058884
E02000050,3.5389765662362507
E02000051,6.7388096409247416
E02000052,3.7649219467401287
E02000054,5.140485312899106
E02000055,6.30461922596754
E02000056,6.214227309893704
E02000057,6.108989934050677
E02000058,5.555555555555555
E02000059,5.999576001695993
E02000060,6.760847628657921
E02000061,6.880375293197811
E02000062,4.249084249084249
E02000063,5.690515806988353
E02000064,6.46799864544531
E02006953,9.054468285781656
E02006954,4.1731066460587325
E02000065,5.06155950752394
E02000066,6.2879788639365914
E02000067,5.414390881025884
E02000068,7.953890489913545
E02000069,3.666895133653187
E02000070,3.916768665850673
E02000071,3.143149982917663
E02000072,4.385070365082602
E02000073,2.658134383460497
E02000074,2.9648101967303964
E02000075,2.8386300524529466
E02000077,2.4244437064098308
E02000078,2.985553772070626
E02000079,6.15022245485475
E02000080,3.7102473498233217
E02000081,2.7291604865025216
E02000082,2.465287616888637
E02000083,4.324440619621343
E02000084,3.02540415704388
E02000085,3.731577296958294
E02000086,2.721563154221912
E02000087,3.8249782671689365
E02000088,2.262295081967213
E02000089,2.7452293270840307
E02000090,5.456595264937993
E02000091,5.843743383442727
E02000092,3.450729277837069
E02006785,4.312267657992565
E02000093,4.224270353302612
E02000094,6.219578150351541
E02000095,3.981900452488688
E02000096,3.923076923076923
E02000097,3.001277139208174
E02000098,3.523489932885906
E02000099,2.8314457028647566
E02000100,2.655538694992413
E02000101,3.1732418524871355
E02000102,5.365337098482175
E02000103,3.7263626251390436
E02000104,4.43213296398892
E02000105,4.04320987654321
E02000106,5.53213909378293
E02000107,7.211231652839821
E02000108,3.6016949152542375
E02000110,4.180860947661815
E02000111,4.553624925104853
E02000112,8.33770319874148
E02000113,8.154146886344597
E02000114,5.74917323836174
E02000115,6.938775510204081
E02000116,5.846422338568935
E02000117,7.50242954324587
E02000118,5.567195450463933
E02000119,9.357798165137615
E02000120,8.88984324672536
E02000121,4.7031003678402525
E02000122,5.133593515460823
E02000123,9.980494148244473
E02000124,8.67178924259056
E02000125,5.583513060148574
E02000126,9.63375796178344
E02006955,34.71452662009155
E02006956,19.297680412371133
E02000127,3.83248730964467
E02000128,3.52755905511811
E02000130,4.36145207626012
E02000131,5.852842809364549
E02000132,6.383784807728737
E02000133,4.501323918799647
E02000134,6.2112900371615645
E02000135,7.075570441699812
E02000136,4.376823676531888
E02000137,5.184420944028888
E02000138,5.437514279186657
E02000139,4.638432728320368
E02000140,4.109195402298851
E02000141,6.303030303030303
E02000142,4.374307862679956
E02000144,6.484493602255476
E02000145,3.6732456140350878
E02000146,4.5830380344909045
E02000147,4.0606060606060606
E02000148,4.86429326753613
E02000149,3.83601756954612
E02000150,3.290903446134741
E02000151,2.780503761858031
E02000152,3.61145703611457
E02000153,2.327935222672065
E02000154,4.643714971977582
E02000155,2.9993618379068283
E02000156,3.6846275752773376
E02000157,2.814814814814815
E02000158,3.068072866730585
E02000159,4.792440094498819
E02000160,2.9665071770334928
E02000161,2.7050610820244327
E02000162,3.7337662337662336
E02000163,3.3396345305608066
E02000165,2.663352272727273
E02006782,4.280155642023346
E02006787,3.2853566958698375
E02006789,4.8788809280109176
E02000166,9.345794392523365
E02000167,14.100279969457878
E02000168,8.98671529044022
E02000169,16.17280531708668
E02000170,12.686002522068096
E02000171,9.387755102040817
E02000172,9.058134294727354
E02000173,15.732499398604762
E02000174,9.042008196721312
E02000175,10.768275005177056
E02000176,13.74353076480736
E02000177,8.923230309072782
E02000178,11.88663282571912
E02000179,16.151315789473685
E02000180,11.907746302331411
E02000181,9.510016895969105
E02000182,16.017433941705256
E02000183,14.977662826240302
E02000184,10.977701543739279
E02000185,10.152284263959391
E02000186,19.518204215713112
E02000187,13.485947416137806
E02000188,11.892417368762151
E02000191,29.860186418109187
E02000192,16.554145287604644
E02000193,35.22774759715838
E02007115,19.852941176470587
E02000001,32.896353953297826
E02000194,7.341269841269841
E02000195,4.379961675335341
E02000196,4.482173174872665
E02000197,6.087202718006795
E02000198,7.258278145695364
E02000199,5.537555228276878
E02000200,5.99294947121034
E02000201,9.349786426198387
E02000202,5.4188726253503585
