MSOA21CD,%_Owned-Outright,%_Own-mortgage,%_Own-Share,%_Social-rent,%_Private-rent,%_Rent-free,Empty %
E02000075,47.084233261339094,35.112619561863625,0.21598272138228944,5.553841406973156,9.194692995988893,0.0,2.8386300524529466
E02000077,34.63965459980073,39.621388243108605,0.5313849219528396,10.129525074726004,12.58718033875789,0.06642311524410495,2.4244437064098308
E02000078,38.45906902086678,42.632423756019264,0.6741573033707865,5.200642054574639,10.016051364365971,0.03210272873194221,2.985553772070626
E02000079,34.12719183459828,32.87097618424496,2.093692750588851,5.365087673383931,19.34048678356451,0.05234231876472127,6.15022245485475
E02000080,36.69863705199394,36.875315497223625,1.337708228167592,6.082786471479051,15.295305401312467,0.0,3.7102473498233217
E02000081,36.13171165826164,34.58914268762978,0.6229605458320974,13.794126371996441,12.132898249777515,0.0,2.7291604865025216
E02000082,39.161235477472374,44.77189005383961,0.45338622839331255,2.2669311419665625,10.881269481439501,0.0,2.465287616888637
E02000083,24.225473321858864,36.76850258175559,1.6996557659208262,17.233218588640277,15.705679862306368,0.04302925989672978,4.324440619621343
E02000084,39.699769053117784,41.70900692840647,0.5080831408775982,4.180138568129331,10.854503464203233,0.023094688221709007,3.02540415704388
E02000085,36.62590153653183,42.67795547193477,0.5644402634054563,3.8570084666039515,12.51175917215428,0.03135779241141424,3.731577296958294
E02000086,42.812281926029314,41.45150034891835,0.48848569434752265,1.57013258897418,10.956036287508724,0.0,2.721563154221912
E02000087,40.45204288611997,36.27933932193567,1.0141987829614605,4.810199942045784,13.561286583598955,0.057954216169226316,3.8249782671689365
E02000088,41.704918032786885,43.114754098360656,0.39344262295081966,3.7704918032786887,8.754098360655737,0.0,2.262295081967213
E02000089,40.709742216270506,43.220622698359556,0.3013056578506863,5.222631402745229,7.733511884834282,0.06695681285570808,2.7452293270840307
E02000090,30.259301014656142,30.68771138669673,1.7361894024802704,9.447576099210824,22.412626832018038,0.0,5.456595264937993
E02000091,34.89307643446962,28.181240736819817,1.5456277789540547,13.868304044039807,15.668007622273977,0.0,5.843743383442727
E02000092,24.7954464603344,27.2145144076841,2.525791533262184,31.056563500533617,10.95695482034863,0.0,3.450729277837069
E02006785,32.9368029739777,34.98141263940521,0.929368029739777,14.312267657992564,12.490706319702602,0.03717472118959108,4.312267657992565
E02000093,30.133128520225295,23.09267793138761,2.713773681515617,9.90783410138249,29.877112135176652,0.051203277009728626,4.224270353302612
E02000094,22.525689561925365,25.905895078420766,3.299080584099513,14.115738236884804,27.82585181179016,0.1081665765278529,6.219578150351541
E02000095,31.734539969834085,20.51282051282051,0.6636500754147813,10.889894419306184,32.126696832579185,0.09049773755656108,3.981900452488688
E02000096,39.80769230769231,28.34615384615385,0.46153846153846156,4.153846153846154,23.26923076923077,0.038461538461538464,3.923076923076923
E02000097,29.725415070242654,25.255427841634738,0.5108556832694764,9.897828863346104,31.57726692209451,0.031928480204342274,3.001277139208174
E02000098,23.59060402684564,20.87248322147651,0.9395973154362416,21.57718120805369,29.42953020134228,0.06711409395973154,3.523489932885906
E02000099,24.050632911392405,19.253830779480346,0.9993337774816788,13.324450366422386,39.473684210526315,0.06662225183211193,2.8314457028647566
E02000100,36.98786039453717,27.23823975720789,0.7966616084977238,10.12898330804249,22.19271623672231,0.0,2.655538694992413
