MSOA21CD,%_Owned,%_Social-rent,%_Private-rent
E02000002,41.88410708234497,40.630294815316844,14.13080311758726
E02000003,53.17441011919241,12.697640476769642,29.117003162247627
E02000004,64.61474036850922,15.619765494137352,15.745393634840871
E02000005,49.93366940833112,24.19739984080658,20.668612364022287
E02000007,38.26705293652884,40.8743745061891,15.854622070055308
E02000008,42.30769230769231,34.32274247491639,18.87541806020067
E02000009,35.515736273834136,33.769813921433496,26.510452561451874
E02000010,42.28855721393035,32.74802458296752,20.836991513023122
E02000011,52.67605633802817,14.124748490945674,27.323943661971832
E02000012,64.70072992700729,11.737226277372264,19.27007299270073
E02000013,39.90384615384615,36.237980769230774,20.703125
E02000014,39.34563758389262,33.75279642058165,21.001118568232663
E02000015,28.951438292607484,44.2932261057841,18.342097123414785
E02000016,17.96140524492825,32.48391885205344,39.13904007916873
E02000017,43.93577041339255,10.112743423300309,40.006832934745475
E02000018,38.327839376685645,36.58975127359904,21.156727599640394
E02000019,40.19253910950662,34.356197352587245,19.614921780986762
E02000020,38.6087672360568,30.047334842560197,23.358715785140976
E02000021,44.52648475120385,19.58266452648475,28.764044943820227
E02000022,16.47901740020471,46.912316615489594,24.872057318321392
E02000023,28.454123527311676,45.805069617993574,18.921813637986435
E02006799,40.89887640449438,29.662921348314608,24.49438202247191
E02000024,65.33390966068727,7.283336935379295,23.27642100713205
E02000025,55.11202678341488,14.035539531290238,26.39711563224311
E02000026,69.69344198680636,5.626697710516105,21.303841676367867
E02000027,52.2823779193206,28.317409766454354,15.127388535031846
E02000028,61.911606180380886,5.246137261947538,29.141214516708587
E02000029,55.236842105263165,9.0,32.921052631578945
E02000030,71.77880686461454,10.760010896213567,13.075456278943069
E02000031,62.53545093590471,5.672149744753262,23.170731707317074
E02000032,80.23546200499464,3.3892258294684265,13.877987870139135
E02000033,61.224489795918366,13.055633212188985,21.554375174727426
E02000034,57.30367193781828,9.059233449477352,28.196194049852586
E02000035,47.74798927613941,9.571045576407506,36.72922252010724
E02000036,58.364038319823145,12.257430606730534,25.300908867600096
E02000037,61.15183246073298,13.37696335078534,19.816753926701573
E02000038,56.831777937305574,9.619526202440776,28.97822445561139
E02000039,63.357972544878564,4.0126715945089755,26.504751847940867
E02000040,56.421658383468476,16.26994506931729,17.237771383730056
E02000041,50.01426533523537,10.35663338088445,33.951497860199716
E02000042,45.07384179647987,6.494031964394092,43.47562209184706
E02000043,67.40072202166066,2.1299638989169676,26.353790613718413
E02000044,42.27386934673367,26.53894472361809,26.00502512562814
E02000045,46.119888475836426,20.724907063197026,29.763011152416357
E02000046,43.641143608281304,3.581991455800197,46.86164968780808
E02000047,34.72889498970487,29.90162434225578,30.26767330130405
E02000048,60.93034466136419,5.037358399614365,28.994938539407084
E02000049,26.13927291346646,49.257552483358936,17.869943676395287
E02000050,45.79148732663797,24.19894787183166,25.03586800573888
E02000051,51.27889818002951,5.017215937038859,36.7437284800787
E02000052,48.80624426078972,15.5188246097337,31.450872359963267
E02000054,43.90166028097063,5.9067688378033205,44.28480204342273
E02000055,35.559717020391176,11.319184352892218,46.48356221389929
E02000056,63.88661760697738,5.669119651131099,23.875715453802126
E02000057,42.86706004859423,7.358556056924678,43.45713293995141
E02000058,53.06592899953896,5.509451360073767,35.569386814200094
E02000059,40.809836760652956,15.263938944244224,37.015051939792244
E02000060,42.003027245206866,7.84561049445005,42.9364278506559
E02000061,41.386499869689864,3.3880635913474064,47.87594474850143
E02000062,29.15750915750916,26.22710622710623,39.010989010989015
E02000063,41.83028286189684,7.420965058236273,44.22628951747088
E02000064,37.72434812055537,23.19674906874365,31.49339654588554
E02006953,25.890120254656924,14.006130629568498,47.229427021928785
E02006954,33.69397217928903,19.654817104585266,38.4080370942813
E02000065,40.424076607387136,27.428180574555405,25.957592339261286
E02000066,29.194187582562748,45.9445178335535,17.96565389696169
E02000067,46.9722156257421,19.092852054143908,27.831868914747094
E02000068,38.069164265129686,27.146974063400574,22.13256484149856
E02000069,62.85126799177518,13.879369431117203,16.68951336531871
E02000070,74.20440636474909,7.741738066095472,12.91309669522644
E02000071,68.3293474547318,13.973351554492655,14.041680901947387
E02000072,44.666530695492554,32.89822557617785,15.704670609830714
E02000073,84.69111493969973,4.011813930593157,8.171301993600789
E02000074,46.49487392629537,35.74397339983375,10.917151565530618
E02000075,82.19685282320272,5.553841406973156,9.194692995988893
E02000077,74.26104284290933,10.129525074726004,12.58718033875789
E02000078,81.09149277688603,5.200642054574639,10.016051364365971
E02000079,66.99816801884323,5.365087673383931,19.34048678356451
