msoa21cd,price,Log10-price
E02000300,4878.172020401699,3.688257110900631
E02000301,4576.372385606968,3.660521356351877
E02000302,5547.579075969251,3.7441035014425474
E02000303,5081.9383131506165,3.706029389084896
E02000304,6464.070909292699,3.8105061118979693
E02000305,6229.611500912127,3.7944609634695965
E02000306,4526.0452135620935,3.6557188880858873
E02000307,4850.538360544806,3.685789943558614
E02000308,6261.104072391666,3.7966509227101723
E02000309,4744.644233666928,3.6762036534023323
E02000311,5410.609768411145,3.7332462122661374
E02000312,6227.895002185991,3.794341282066342
E02000313,3616.442747086627,3.558281594050536
E02000314,4514.953754384134,3.6546533062954514
E02000315,4221.311714098204,3.6254474229230382
E02000317,4946.503144405694,3.6942982894869365
E02000318,4486.105985884554,3.651869529733148
E02000319,4620.287593000525,3.6646690093582546
E02000320,4525.704315508256,3.655686176145888
E02000321,4195.2901587518,3.6227620033022445
E02000323,4774.717165607324,3.678947650882272
E02000324,5252.533390250012,3.7203688218881257
E02000326,6190.54657187424,3.7917289951703017
E02000327,5354.18466511175,3.728693345867722
E02000328,6899.351069987401,3.838808244363771
E02000329,4819.094441809078,3.6829654374351866
E02000331,5401.286750612896,3.7324972342897267
E02000332,5067.824059666524,3.7048215290128392
E02000333,7536.331199768639,3.8771599761796254
E02000334,5338.818098632447,3.7274451240596385
E02000335,5523.517367812051,3.742215723915803
E02000337,5449.090013422043,3.736323982066268
E02000339,5595.545598153404,3.7478424391601637
E02000340,5015.127590942716,3.700281986476573
E02000341,5002.1474348560205,3.6991564881143515
E02000342,4882.966445080088,3.6886837398961183
E02000343,4856.970124552033,3.686365432115799
E02000344,5328.16706730795,3.726577833893554
E02000345,6313.102001035672,3.8002428062969518
E02000346,8995.110441397375,3.9540064999544997
E02000347,7863.334352101574,3.895606742432834
E02000348,7041.600873723384,3.847671405106228
E02000350,8194.726978470022,3.913534488874291
E02000351,8791.95960358875,3.944085683967436
E02000352,8970.580975684941,3.9528205708438016
E02000353,9304.6195922728,3.968698622243365
E02000354,7895.90612483016,3.897401976324371
E02000355,8657.379712616625,3.937386466088116
E02000356,9301.28206602622,3.9685428147717077
E02000357,5762.033198643648,3.7605757561912196
E02000358,8259.284978668495,3.9169424512840756
E02000359,8660.723342719408,3.9375541657624473
E02000360,7824.223730019499,3.8934412604047623
E02000361,8320.016557833982,3.9201241905898554
E02000362,7779.183846073205,3.890934035326478
E02000363,7372.004866234536,3.867585613223394
E02000364,9301.601189694038,3.9685577150047613
E02000366,8763.4249004452,3.9426738692585506
E02000367,8652.620174589008,3.937147639841165
E02000368,8950.58705431676,3.9518515209124643
E02000369,8092.790467655578,3.9080982961173776
E02000370,7999.674637140383,3.903072323720937
E02000372,13004.930535366608,4.1141080367942875
E02000373,6151.365144375452,3.7889715074628003
E02000374,8275.710200116415,3.9178052740799783
E02000375,9039.320828748709,3.9561358008949012
E02000376,8222.24473511777,3.914990399412142
E02000377,8463.023480599726,3.9275255458237166
E02000378,9482.494454255808,3.97692259738202
E02000379,11890.005530912802,4.075182056640925
E02000380,11102.22934963493,4.045410194735353
E02000381,11182.013212560862,4.048520001081202
E02000382,8952.823652047004,3.951960030075714
E02000383,9355.6449903002,3.9710737336930317
