MSOA21CD,MSOA21NM,Dist-Westminster018
E02000786,Richmond upon Thames 003,9.229463027
E02000787,Richmond upon Thames 004,11.17803217
E02000788,Richmond upon Thames 005,10.48836371
E02000789,Richmond upon Thames 006,12.1726854
E02000790,Richmond upon Thames 007,14.17062774
E02000791,Richmond upon Thames 008,13.01076961
E02000792,Richmond upon Thames 009,13.95739363
E02000793,Richmond upon Thames 010,16.79262073
E02000794,Richmond upon Thames 011,15.55628407
E02000795,Richmond upon Thames 012,12.52286107
E02000796,Richmond upon Thames 013,17.86454054
E02000797,Richmond upon Thames 014,15.39568858
E02000798,Richmond upon Thames 015,17.42459657
E02000799,Richmond upon Thames 016,16.22772999
E02000800,Richmond upon Thames 017,15.13892214
E02000801,Richmond upon Thames 018,16.51065141
E02000802,Richmond upon Thames 019,17.79186454
E02000803,Richmond upon Thames 020,19.02129793
E02000804,Richmond upon Thames 021,17.25536289
E02000805,Richmond upon Thames 022,16.23429219
E02000806,Richmond upon Thames 023,18.64860235
E02000807,Southwark 001,6.307915364
E02000808,Southwark 002,2.497738871
E02000810,Southwark 004,4.631340632
E02000812,Southwark 006,3.485112091
E02000813,Southwark 007,5.725814308
E02000814,Southwark 008,6.756572128
E02000815,Southwark 009,2.923183254
E02000816,Southwark 010,5.091815635
E02000817,Southwark 011,5.683763249
E02000818,Southwark 012,3.421898744
E02000819,Southwark 013,4.530638756
E02000820,Southwark 014,3.08083212
E02000821,Southwark 015,4.466517943
E02000822,Southwark 016,3.940910892
E02000823,Southwark 017,3.822127713
E02000824,Southwark 018,5.622188489
E02000825,Southwark 019,5.051631501
E02000826,Southwark 020,4.709826213
E02000827,Southwark 021,4.342232567
E02000828,Southwark 022,5.876129768
E02000829,Southwark 023,6.467706538
E02000830,Southwark 024,5.502208627
E02000831,Southwark 025,6.135041976
E02000832,Southwark 026,7.008834291
E02000833,Southwark 027,6.070969398
E02000834,Southwark 028,7.099832317
E02000835,Southwark 029,8.077726239
E02000836,Southwark 030,7.038961883
E02000837,Southwark 031,7.261395543
E02000838,Southwark 032,8.049333214
E02000839,Southwark 033,9.001510759
E02000840,Sutton 001,13.69020514
E02000841,Sutton 002,14.37561827
E02000842,Sutton 003,15.16042342
E02000843,Sutton 004,14.58524605
E02000844,Sutton 005,14.82665199
E02000845,Sutton 006,16.03378914
E02000846,Sutton 007,15.21566773
E02000847,Sutton 008,16.30522916
E02000848,Sutton 009,16.39337033
E02000849,Sutton 010,15.50724461
E02000850,Sutton 011,14.63695182
E02000851,Sutton 012,16.20741371
E02000852,Sutton 013,15.96978474
E02000853,Sutton 014,16.50032047
E02000854,Sutton 015,16.20636169
E02000855,Sutton 016,17.61806508
E02000856,Sutton 017,16.73813548
E02000857,Sutton 018,17.3159747
E02000858,Sutton 019,16.86800479
E02000859,Sutton 020,17.23463024
E02000860,Sutton 021,17.58649034
E02000861,Sutton 022,17.94335571
E02000863,Sutton 024,18.87493053
E02000864,Tower Hamlets 001,8.001707225
E02000865,Tower Hamlets 002,6.098276488
E02000866,Tower Hamlets 003,7.056963216
E02000867,Tower Hamlets 004,8.075551443
E02000868,Tower Hamlets 005,5.530371499
E02000869,Tower Hamlets 006,4.849368356
E02000870,Tower Hamlets 007,6.252517565
E02000871,Tower Hamlets 008,8.49361753
E02000872,Tower Hamlets 009,4.798780687
E02000873,Tower Hamlets 010,6.598727565
E02000874,Tower Hamlets 011,5.867729735
E02000875,Tower Hamlets 012,7.868438152
E02000876,Tower Hamlets 013,5.395463919
E02000877,Tower Hamlets 014,7.269808353
E02000878,Tower Hamlets 015,4.438590541
E02000879,Tower Hamlets 016,5.986711644
E02000880,Tower Hamlets 017,5.455676051
E02000881,Tower Hamlets 018,8.720055578
E02000882,Tower Hamlets 019,6.549968516
E02000883,Tower Hamlets 020,8.329792493
E02000884,Tower Hamlets 021,4.672452102
E02000885,Tower Hamlets 022,5.554394093
E02000886,Tower Hamlets 023,7.028966284
E02000887,Tower Hamlets 024,7.783961876
E02000888,Tower Hamlets 025,5.953729744
E02000889,Tower Hamlets 026,4.813079113
E02000890,Tower Hamlets 027,4.781427813
E02000893,Tower Hamlets 030,8.898850601
E02000894,Tower Hamlets 031,8.034232513
E02000895,Waltham Forest 001,16.53793983
E02000896,Waltham Forest 002,17.10032597
E02000897,Waltham Forest 003,15.89675843
E02000898,Waltham Forest 004,15.13695375
E02000899,Waltham Forest 005,14.67591107
E02000900,Waltham Forest 006,13.72439827
E02000901,Waltham Forest 007,14.64546638
E02000902,Waltham Forest 008,13.64698525
E02000903,Waltham Forest 009,12.46618281
E02000904,Waltham Forest 010,13.6576763
E02000905,Waltham Forest 011,12.4438004
E02000906,Waltham Forest 012,11.75149624
E02000907,Waltham Forest 013,12.62905181
E02000908,Waltham Forest 014,10.92074619
E02000909,Waltham Forest 015,12.71311391
E02000910,Waltham Forest 016,11.49839033
E02000911,Waltham Forest 017,10.93947853
E02000912,Waltham Forest 018,9.815333553
E02000913,Waltham Forest 019,11.84802806
E02000914,Waltham Forest 020,11.09690003
E02000915,Waltham Forest 021,12.34319464
E02000916,Waltham Forest 022,9.493254371
E02000917,Waltham Forest 023,10.7982622
E02000918,Waltham Forest 024,11.94975793
E02000919,Waltham Forest 025,10.82019867
E02000920,Waltham Forest 026,9.921630325
E02000921,Waltham Forest 027,10.86555146
E02000922,Waltham Forest 028,11.39943258
E02000923,Wandsworth 001,3.822763319
E02000925,Wandsworth 003,4.361787932
E02000926,Wandsworth 004,5.112306036
E02000927,Wandsworth 005,4.682314796
E02000928,Wandsworth 006,7.817531331
E02000929,Wandsworth 007,5.588928028
E02000930,Wandsworth 008,5.155991085
E02000931,Wandsworth 009,5.533394389
E02000932,Wandsworth 010,7.05743364
E02000933,Wandsworth 011,8.54440081
E02000934,Wandsworth 012,6.138157021
E02000935,Wandsworth 013,9.841949519
E02000936,Wandsworth 014,8.169214727
E02000937,Wandsworth 015,6.623791429
E02000938,Wandsworth 016,9.249025596
E02000939,Wandsworth 017,6.357831166
E02000940,Wandsworth 018,7.444483567
E02000941,Wandsworth 019,7.066920066
E02000942,Wandsworth 020,8.153357616
E02000943,Wandsworth 021,6.769107586
E02000944,Wandsworth 022,8.744252906
E02000945,Wandsworth 023,10.33977493
E02000946,Wandsworth 024,7.822485644
E02000947,Wandsworth 025,8.360551491
E02000948,Wandsworth 026,7.841044049
E02000949,Wandsworth 027,7.807517412
E02000950,Wandsworth 028,9.335769126
E02000951,Wandsworth 029,7.967621229
E02000952,Wandsworth 030,8.089926397
E02000953,Wandsworth 031,8.773370013
E02000954,Wandsworth 032,8.636731082
E02000955,Wandsworth 033,8.888863779
E02000956,Wandsworth 034,9.388486983
E02000957,Wandsworth 035,9.534500583
E02000958,Wandsworth 036,9.251861342
E02000959,Wandsworth 037,9.441866735
E02000960,Westminster 001,3.746985508
E02000961,Westminster 002,4.574396847
E02000962,Westminster 003,3.699101423
E02000963,Westminster 004,5.800107455
E02000964,Westminster 005,5.233272809
E02000965,Westminster 006,4.591822399
E02000966,Westminster 007,3.96036517
E02000967,Westminster 008,2.770921809
E02000968,Westminster 009,3.157067098
E02000969,Westminster 010,4.432397262
E02000970,Westminster 011,1.62360605
E02000971,Westminster 012,2.316819006
E02000972,Westminster 013,0.940998259
E02000973,Westminster 014,4.316422086
E02000974,Westminster 015,2.764534043
E02000975,Westminster 016,3.344277157
E02000976,Westminster 017,3.845183463
E02000977,Westminster 018,0
E02000978,Westminster 019,2.373137602
E02000979,Westminster 020,0.967779379
E02000980,Westminster 021,1.787520309
E02000981,Westminster 022,2.010618622
E02000982,Westminster 023,2.17746323
E02000983,Westminster 024,2.378558401
E02006782,Bromley 040,14.67301734
E02006783,Lewisham 037,13.38727071
E02006784,Lewisham 038,13.08065337
E02006785,Bexley 029,16.67685212
E02006786,Greenwich 033,16.60170065
E02006787,Bromley 041,13.69660341
E02006788,Croydon 045,13.7054265
E02006789,Bromley 042,24.25803401
E02006791,Ealing 040,9.262475649
E02006792,Hounslow 029,9.832851929
E02006793,Enfield 037,12.24148046
E02006794,Haringey 037,11.58946291
E02006795,Harrow 032,18.28296948
E02006796,Hillingdon 033,19.09522317
E02006798,Lewisham 039,7.770030708
E02006799,Barking and Dagenham 023,18.99054006
E02006800,Redbridge 034,17.93946859
E02006801,Lambeth 036,1.425478318
E02006802,Southwark 034,2.253141559
E02006836,Sutton 025,19.15038409
E02006853,Tower Hamlets 032,7.781045536
E02006854,Tower Hamlets 033,7.682770207
E02006882,Harrow 033,15.55023705
E02006918,Hackney 028,8.407923693
E02006921,Hackney 029,8.249413852
E02006924,Redbridge 035,15.05592984
E02006925,Redbridge 036,15.45006855
E02006927,Greenwich 034,12.21356589
E02006928,Greenwich 035,8.501008163
E02006930,Greenwich 037,10.33819837
E02006931,Greenwich 038,9.524611104
E02006941,Southwark 035,3.896590872
E02006942,Southwark 036,3.835264675
E02006953,Barnet 042,12.40724209
E02006954,Barnet 043,12.30420129
E02006955,Brent 035,11.80975554
E02006956,Brent 036,11.12842081
E02006968,Ealing 041,11.17641279
E02006969,Ealing 042,11.61740516
E02006970,Ealing 043,17.45597739
E02006971,Ealing 044,18.18330552
E02006972,Hounslow 030,11.1018649
E02006973,Hounslow 031,12.03697113
E02006987,Croydon 046,15.20828005
E02006988,Croydon 047,16.15291071
E02006991,Greenwich 039,14.28228908
E02006992,Greenwich 040,9.70291678
E02006993,Greenwich 041,10.72946207
E02006994,Greenwich 042,12.62659945
E02006995,Newham 038,9.431308261
E02006996,Newham 039,9.836365107
E02006997,Newham 040,9.100077297
E02006998,Newham 041,13.30018717
E02006999,Newham 042,11.13781848
E02007008,Lewisham 040,9.495360512
E02007009,Lewisham 041,10.18035224
E02007017,Redbridge 037,19.40945189
E02007018,Redbridge 038,19.18415783
E02007019,Redbridge 039,15.90254937
E02007020,Redbridge 040,15.78818794
E02007083,Wandsworth 038,3.031317673
E02007084,Wandsworth 039,3.855129328
E02007108,Hackney 030,5.783561075
E02007109,Hackney 031,5.446495306
E02007110,Hackney 032,4.102136224
E02007111,Hackney 033,4.243000677
E02007112,Tower Hamlets 034,9.393116213
E02007113,Tower Hamlets 035,8.623018786
E02007114,Tower Hamlets 036,8.541240477
E02007115,Camden 029,2.263082296
