MSOA 2021 Code,Total
E02000389,8725
E02000390,6192
E02000391,7582
E02000392,9194
E02000393,6026
E02000394,9249
E02000395,5752
E02000396,6871
E02000397,7905
E02000398,7540
E02000400,7903
E02000401,6849
E02000402,6500
E02000403,7507
E02000404,7161
E02000405,6465
E02000406,6727
E02000407,7604
E02000408,8315
E02000409,6095
E02000410,6343
E02000411,11408
E02000412,7365
E02000413,7788
E02000414,7082
E02000415,7280
E02000416,8381
E02000417,6600
E02000418,5422
E02000419,8729
E02000420,8048
E02000421,8542
E02000422,7502
E02000423,6905
E02000424,6794
E02000425,8100
E02000426,6560
E02000427,6585
E02000428,8481
E02000429,6717
E02000430,6920
E02000431,5825
E02000432,6078
E02006794,8291
E02000433,8656
E02000434,9798
E02000435,8255
E02000436,5770
E02000437,8827
E02000438,8537
E02000439,9258
E02000440,9606
E02000441,7471
E02000442,9497
E02000443,10728
E02000444,8712
E02000445,11755
E02000447,8178
E02000448,7090
E02000449,8336
E02000451,6670
E02000452,9548
E02000453,8387
E02000454,7337
E02000455,11574
E02000456,7822
E02000457,7079
E02000459,9307
E02000460,7272
E02000461,7295
E02000462,7022
E02000463,8697
E02006795,8259
E02006882,14416
E02000464,7762
E02000465,9365
E02000466,9048
E02000467,11461
E02000468,8599
E02000469,7253
E02000470,9762
E02000471,7815
E02000472,9430
E02000473,10596
E02000474,9246
E02000475,9601
E02000476,9386
E02000477,9512
E02000478,5975
E02000479,9420
E02000480,13854
E02000481,8192
E02000482,6562
E02000483,7922
E02000484,8526
E02000485,8508
E02000486,7344
E02000487,7881
E02000488,7677
E02000489,8694
E02000490,8469
E02000491,10711
E02000492,6815
E02000493,6700
E02000494,7944
E02000495,10515
E02000496,7763
E02000497,9492
E02000498,6336
E02000499,7815
E02000500,8351
E02000501,8442
E02000502,8920
E02000503,8657
E02000504,7668
E02000506,7973
E02000507,8197
E02000508,11900
E02000509,10496
E02000510,9074
E02000511,9918
E02000512,8802
E02000513,9772
E02000514,10579
E02000515,13197
E02000516,8525
E02000517,10357
E02000518,9571
E02000519,9564
E02000520,14006
E02000521,13054
E02000522,9532
E02000523,11332
E02000524,7518
E02000525,10033
E02006796,9804
E02000526,8634
E02000529,9705
E02000530,8082
E02000531,11665
E02000532,9069
E02000533,8416
E02000534,8545
E02000535,10088
E02000536,10906
E02000537,9866
E02000538,10139
E02000539,12210
E02000540,12078
E02000541,10631
E02000542,12292
E02000543,13937
E02000544,8552
E02000545,9269
E02000546,10475
E02000547,11029
E02000548,10545
E02000549,12607
E02000550,10699
E02000551,9703
E02000552,9162
E02000553,7004
E02006792,9043
E02006972,5389
E02006973,8424
E02000554,9326
E02000555,9578
E02000556,11402
E02000557,8905
E02000558,9473
E02000559,9588
E02000560,7327
E02000561,7394
E02000562,7876
E02000563,8695
E02000564,12339
E02000565,8583
E02000566,8608
E02000567,10450
E02000568,11420
E02000569,9950
E02000570,8321
E02000571,8946
E02000572,8669
E02000573,10361
E02000574,7904
E02000575,11323
E02000576,10612
E02000577,7789
E02000578,6039
E02000579,9026
E02000580,7893
E02000581,7368
E02000582,6580
E02000583,6434
E02000584,7241
E02000585,8107
E02000586,6455
E02000587,6568
E02000588,5974
E02000589,7356
E02000590,6098
E02000591,6274
E02000592,5780
E02000593,7426
E02000594,6588
E02000595,6169
E02000596,6701
E02000597,6400
E02000598,8083
E02000599,7008
E02000600,8322
E02000601,11820
E02000602,10279
E02000603,8601
E02000604,9193
E02000605,8550
E02000606,10593
E02000607,6848
E02000608,7120
E02000609,7642
E02000610,7937
E02000611,7472
E02000612,8293
E02000613,8121
E02000614,9329
E02000615,7865
E02000616,6049
E02000617,8867
E02000619,9163
E02000620,9911
E02000621,12588
E02000622,8358
E02000623,7950
E02000624,9602
E02000625,9251
E02000626,8277
E02000627,9592
E02000628,10821
E02000629,9055
E02000630,7540
E02000631,9512
E02000632,9606
E02000633,9136
E02000634,6839
E02000635,9778
E02000636,7767
E02000637,8402
E02000638,10227
E02000639,8307
E02000640,9216
E02000641,8612
E02000642,9810
E02000643,9336
E02000644,8526
E02000645,9484
E02000646,9538
E02000647,8649
E02000648,7779
E02000649,12374
E02000650,7628
E02000651,8749
E02000652,7675
E02006801,8633
E02000653,12443
E02000654,8744
E02000655,10291
E02000657,9923
E02000658,8640
E02000659,8001
E02000660,8138
E02000661,6579
E02000662,8157
E02000663,6877
E02000665,8112
E02000666,7215
E02000667,6778
E02000668,6838
E02000669,7989
E02000670,6649
E02000671,8715
E02000672,10203
E02000673,8082
E02000674,8432
E02000675,8568
E02000676,7802
E02000677,7327
E02000678,6945
E02000679,8034
E02000680,7032
E02000681,8428
E02000682,8970
E02000683,6812
E02000685,8113
E02000686,7470
E02000687,8297
E02006783,7777
E02006784,8024
E02006798,8868
E02007008,5669
E02007009,9071
E02000689,8986
E02000690,5548
E02000691,7298
E02000692,7702
E02000693,9884
E02000694,9049
E02000695,8677
E02000696,8549
E02000697,8645
E02000698,8283
E02000699,8252
E02000700,8669
E02000701,9035
E02000702,9342
E02000703,7980
E02000704,8595
E02000705,9304
E02000706,10063
E02000707,8375
E02000708,8971
E02000709,8040
E02000710,9222
E02000711,9474
E02000712,9692
E02000713,7791
E02000714,7737
E02000715,7327
E02000716,7324
E02000717,8346
E02000718,7398
E02000719,8098
E02000720,7545
E02000721,9549
E02000722,8141
E02000723,11307
E02000724,10089
E02000725,9948
E02000727,8543
E02000728,8476
E02000729,7345
E02000730,10003
E02000731,10036
E02000732,8946
E02000733,10153
E02000734,7334
E02000735,8662
E02000736,9210
E02000737,10396
E02000738,9551
E02000739,7669
E02000740,6795
E02000741,8266
E02000742,8761
E02000743,10351
E02000744,9149
E02000745,8617
E02000746,9392
E02000747,13072
E02000748,6287
E02000749,9578
E02006995,8543
E02006996,8380
E02006997,6771
E02006998,7080
E02006999,11081
E02000751,11219
E02000752,8772
E02000753,6910
E02000754,6695
E02000755,5495
E02000756,14570
E02000757,12265
E02000758,6874
E02000759,13172
E02000760,7556
E02000762,6681
E02000763,8029
E02000764,12271
E02000765,7543
E02000767,8620
E02000768,5804
E02000770,8158
E02000772,8416
E02000773,10686
E02000774,8066
E02000776,7027
E02000777,6053
E02000779,8484
E02000781,16255
E02000782,11442
E02000783,7355
E02006800,14648
E02006924,13588
E02006925,14434
E02007017,8838
E02007018,7198
E02007019,7149
E02007020,9857
E02000784,10155
E02000785,9672
E02000786,11360
E02000787,12084
E02000788,9079
E02000789,6363
E02000790,6590
E02000791,6448
E02000792,7104
E02000793,8145
E02000794,7003
E02000795,6902
E02000796,11089
E02000797,7869
